sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
0,False,1,0.631263,0.528740,0.347163,-0.284100,0.356117,0.325341,0.157711,-0.198405,0.375854,0.223358,257
1,False,1,0.873851,0.738035,0.956882,0.083031,0.368529,0.412720,0.647197,0.278668,0.430961,0.246069,374
2,True,1,1.489728,0.754204,0.596678,-0.893049,0.948383,0.423627,0.542906,-0.405477,0.554440,0.336071,218
3,True,1,1.725168,0.828598,0.323777,-1.401392,0.985894,0.486300,0.182782,-0.803112,0.652486,0.401014,207
4,False,1,0.755868,0.757296,0.323310,-0.432558,0.361731,0.527528,0.084581,-0.277151,0.491722,0.310640,224
5,True,1,0.885758,0.486172,0.506799,-0.378959,0.329451,0.344957,0.184970,-0.144481,0.360944,0.242264,216
6,False,1,0.272105,0.470960,0.448043,0.175938,0.056742,0.254160,0.241782,0.185040,0.382771,0.221364,204
7,False,1,0.889761,0.895722,0.301774,-0.587987,0.254084,0.583965,0.204305,-0.049779,0.420204,0.253204,374
8,True,1,0.327382,0.545698,0.431941,0.104559,0.094039,0.315992,0.141449,0.047411,0.415911,0.240021,159
9,True,1,0.771200,0.570272,0.374617,-0.396583,0.556623,0.392238,0.157724,-0.398898,0.342880,0.241336,310
10,True,1,1.374491,0.627620,0.621752,-0.752738,0.616929,0.369827,0.307084,-0.309845,0.469441,0.278055,326
11,True,1,1.220585,0.878799,0.499698,-0.720887,0.622793,0.539443,0.202690,-0.420104,0.478191,0.289541,295
12,False,1,0.718780,0.890927,1.333160,0.614380,0.251617,0.482236,0.699312,0.447695,0.399604,0.239763,440
13,True,1,1.517312,0.685041,0.470965,-1.046347,0.467368,0.493013,0.263729,-0.203639,0.464806,0.286045,245
14,False,1,1.311426,0.821132,0.753732,-0.557694,0.735211,0.523632,0.385098,-0.350113,0.376693,0.234106,401
15,False,1,0.802066,0.457180,0.340321,-0.461746,0.223904,0.309270,0.114369,-0.109535,0.317826,0.205820,272
16,False,1,0.791732,0.825208,0.629694,-0.162038,0.482243,0.529101,0.186903,-0.295339,0.595464,0.345680,314
17,False,1,1.115513,0.545732,0.451207,-0.664306,0.644734,0.296480,0.254750,-0.389984,0.447308,0.280833,815
18,False,1,0.956867,0.522927,0.527947,-0.428920,5.197039,0.332999,0.168442,-5.028597,0.230484,0.137647,511
19,False,1,1.228785,0.816889,0.457330,-0.771455,1.167805,0.536302,0.145505,-1.022301,0.405075,0.259613,525
20,True,1,1.431702,0.826967,0.578283,-0.853419,0.727383,0.538673,0.200074,-0.527309,0.403366,0.247451,555
21,True,1,0.857005,0.866439,1.027765,0.170759,0.336545,0.517012,0.660258,0.323713,0.270733,0.160393,538
22,False,1,1.113374,1.062020,0.457616,-0.655759,0.666838,0.665560,0.230341,-0.436497,0.361223,0.220705,614
23,False,1,0.993659,0.771226,0.974168,-0.019491,0.432430,0.419466,0.664757,0.232328,0.623654,0.368291,422
24,False,1,0.604860,0.961959,0.317881,-0.286979,0.304520,0.578058,0.087039,-0.217482,0.609691,0.373876,271
25,True,1,1.237828,1.029925,0.378420,-0.859408,0.722746,0.626446,0.116171,-0.606575,0.565597,0.336545,285
26,True,1,0.930960,0.753568,0.574546,-0.356414,0.414072,0.446408,0.395529,-0.018542,0.300834,0.186170,456
27,False,1,0.798194,0.725375,0.709294,-0.088899,0.222254,0.403958,0.270647,0.048392,0.283507,0.150542,402
28,False,1,1.361407,0.761715,0.610204,-0.751203,0.570196,0.446092,0.234450,-0.335747,0.447406,0.265410,350
29,False,1,1.167824,0.690791,0.221003,-0.946821,0.641731,0.457173,0.038860,-0.602871,0.485009,0.299946,246
