sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
0,0,True,0.054895,1.168931,2.132757,2.077861,3.440732,4.795321,4.783114,1.342382,138,170,33
1,0,True,0.059369,1.230310,2.117889,2.058519,3.423250,4.522363,4.984488,1.561239,77,110,34
2,0,True,0.024185,1.392771,1.631542,1.607358,3.526026,4.948595,6.197237,2.671211,263,294,32
3,0,False,0.100485,1.212142,1.115584,1.015099,3.545834,4.146584,5.609342,2.063508,86,120,35
4,0,True,0.071743,0.940886,0.947912,0.876169,3.537458,4.775990,4.770814,1.233356,208,238,31
5,0,True,0.033958,1.317165,1.234191,1.200233,3.630566,5.375182,5.729411,2.098845,143,174,32
6,0,True,0.020456,0.000268,1.435504,1.415048,3.400720,10.875021,5.581908,2.181188,136,136,1
7,0,True,0.802167,1.162994,1.664001,0.861834,5.726511,4.718093,5.934106,0.207595,244,274,31
8,0,True,0.006723,0.955748,1.084769,1.078046,4.594465,4.602056,4.930426,0.335960,327,359,33
9,0,True,0.010979,0.951526,1.254641,1.243662,3.610211,4.452465,6.660704,3.050493,170,202,33
10,0,True,0.010574,1.084770,1.769107,1.758532,3.852394,4.803036,4.994440,1.142046,186,218,33
11,0,True,0.166953,1.083268,1.220480,1.053527,2.873246,5.465878,3.995956,1.122710,161,194,34
12,0,False,0.167341,1.204827,1.116480,0.949139,3.275150,4.370874,6.990266,3.715116,197,229,33
13,0,True,0.344342,1.103493,1.293483,0.949141,4.888220,4.126395,6.547210,1.658990,268,300,33
14,0,False,0.663306,1.313824,2.418103,1.754797,6.282343,4.806165,7.208411,0.926068,149,185,37
15,0,True,0.420986,0.000878,1.815020,1.394035,2.945495,9.500079,6.508713,3.563217,201,201,1
16,0,True,0.134821,1.165648,1.711010,1.576189,3.319057,5.021408,5.384562,2.065506,108,140,33
17,0,True,0.029176,1.165612,1.408338,1.379162,3.174283,4.137245,4.666089,1.491806,195,227,33
18,0,True,0.455598,1.145250,1.032112,0.576515,6.969597,4.154639,4.405141,-2.564456,126,160,35
19,0,True,0.010051,1.141554,1.652172,1.642121,3.860245,6.096166,6.088334,2.228089,226,259,34
20,0,True,0.052189,1.275888,1.474920,1.422731,3.517931,5.199196,6.140347,2.622416,336,372,37
21,0,True,0.370858,0.893477,0.779211,0.408353,5.848295,4.300732,5.409931,-0.438364,124,154,31
22,0,True,0.056789,0.000965,1.468270,1.411481,3.420542,9.500084,7.460503,4.039961,138,138,1
23,0,True,0.137566,1.252271,1.253407,1.115842,3.017072,5.458167,7.715437,4.698365,104,138,35
24,0,True,0.683911,0.001895,0.935397,0.251486,5.828895,8.750175,6.843509,1.014614,141,141,1
25,0,True,0.547249,1.141905,1.646083,1.098834,7.161574,5.191401,6.089370,-1.072204,200,234,35
26,0,True,0.092084,0.893083,1.566029,1.473945,3.507306,4.458885,5.861500,2.354194,185,217,33
27,0,True,0.657584,1.138906,1.659151,1.001567,6.131497,5.068658,7.651196,1.519699,158,193,36
28,0,True,0.181070,1.284923,1.398256,1.217186,2.885471,5.299860,5.034221,2.148750,155,185,31
29,0,True,0.328077,1.087408,1.157851,0.829773,3.011089,4.990557,6.192877,3.181788,148,183,36
30,0,True,0.005362,0.971476,1.596904,1.591542,3.883213,4.176180,5.448861,1.565648,163,197,35
31,0,True,0.027340,0.896021,0.838433,0.811093,3.721777,4.324969,6.693148,2.971371,174,203,30
32,0,True,0.297086,1.190242,1.200326,0.903239,2.897509,3.691003,4.924212,2.026703,123,157,35
33,0,True,0.031595,1.125006,1.101538,1.069943,3.471986,5.428978,4.902055,1.430069,145,179,35
34,0,True,0.531183,1.169674,1.261085,0.729903,5.984064,4.132145,5.795611,-0.188453,130,163,34
35,0,True,0.019754,1.011049,1.444333,1.424579,3.455230,5.382935,6.466089,3.010859,134,164,31
36,0,True,0.127772,1.139359,1.153386,1.025614,3.383015,5.594921,8.734816,5.351801,139,172,34
37,0,False,0.712493,1.241782,1.602498,0.890005,3.227575,4.506305,6.211382,2.983807,218,249,32
38,0,False,0.026666,1.299507,1.545820,1.519154,3.440363,4.533945,6.746659,3.306296,136,170,35
39,0,True,0.016369,1.143131,1.521034,1.504665,3.330139,4.788534,7.629458,4.299319,203,235,33
40,0,True,0.018844,1.016748,1.852098,1.833253,3.267260,4.388380,6.374901,3.107641,109,140,32
41,0,True,0.455548,1.296443,1.774138,1.318590,3.485695,5.381583,5.517870,2.032175,229,265,37
