global_step	benchmark	b0p	b2p	b3p	rep_b3p_minus_b0p	rq2_b3p_minus_b2p	b2p_minus_b0p
50	gsm8k	0.898990	0.858586	0.898990	+0.000000	+0.040404	-0.040404
50	hendrycks_math/algebra	0.473684	0.526316	0.473684	+0.000000	-0.052632	+0.052632
50	hendrycks_math/counting_and_probability	0.771429	0.771429	0.657143	-0.114286	-0.114286	+0.000000
50	hendrycks_math/geometry	0.030303	0.212121	0.030303	+0.000000	-0.181818	+0.181818
50	hendrycks_math/intermediate_algebra	-0.041667	0.041667	0.000000	+0.041667	-0.041667	+0.083333
50	hendrycks_math/number_theory	0.523810	0.428571	0.571429	+0.047619	+0.142857	-0.095238
50	hendrycks_math/prealgebra	0.580645	0.645161	0.677419	+0.096774	+0.032258	+0.064516
50	hendrycks_math/precalculus	-0.459459	-0.459459	-0.405405	+0.054054	+0.054054	+0.000000
50	omni-math	-0.555556	-0.619048	-0.460317	+0.095238	+0.158730	-0.063492
100	gsm8k	0.878788	0.878788	0.878788	+0.000000	+0.000000	+0.000000
100	hendrycks_math/algebra	0.526316	0.473684	0.552632	+0.026316	+0.078947	-0.052632
100	hendrycks_math/counting_and_probability	0.828571	0.885714	0.771429	-0.057143	-0.114286	+0.057143
100	hendrycks_math/geometry	0.151515	0.090909	0.151515	+0.000000	+0.060606	-0.060606
100	hendrycks_math/intermediate_algebra	0.000000	0.125000	0.083333	+0.083333	-0.041667	+0.125000
100	hendrycks_math/number_theory	0.428571	0.571429	0.619048	+0.190476	+0.047619	+0.142857
100	hendrycks_math/prealgebra	0.580645	0.709677	0.612903	+0.032258	-0.096774	+0.129032
100	hendrycks_math/precalculus	-0.351351	-0.459459	-0.351351	+0.000000	+0.108108	-0.108108
100	omni-math	-0.428571	-0.650794	-0.523810	-0.095238	+0.126984	-0.222222
