benchmark                       b0p      b2p      b3p |  RQ2(3-2)  rep(3-0)
prealgebra                   0.5806   0.6452   0.6774 |   +0.0323   +0.0968
omni-math                   -0.5556  -0.6190  -0.4603 |   +0.1587   +0.0952
precalculus                 -0.4595  -0.4595  -0.4054 |   +0.0541   +0.0541
number_theory                0.5238   0.4286   0.5714 |   +0.1429   +0.0476
intermediate_algebra        -0.0417   0.0417   0.0000 |   -0.0417   +0.0417
algebra                      0.4737   0.5263   0.4737 |   -0.0526   +0.0000
gsm8k                        0.8990   0.8586   0.8990 |   +0.0404   +0.0000
geometry                     0.0303   0.2121   0.0303 |   -0.1818   +0.0000
counting_and_probability     0.7714   0.7714   0.6571 |   -0.1143   -0.1143

RQ2  (b3p-b2p, 메타헤드 순효과): 5승 0무 4패
복제축(b3p-b0p):                 5승 3무 1패
