step,wellformed_rate,correctness_mean
1,0.6953,0.6659
2,0.668,0.6483
3,0.6426,0.5232
4,0.7109,0.6286
5,0.6719,0.6206
6,0.6992,0.4134
7,0.6641,0.5815
8,0.6816,0.6398
9,0.6758,0.5089
10,0.6992,0.4988
11,0.627,0.5419
12,0.6836,0.6631
13,0.6699,0.7412
14,0.6367,0.6491
15,0.6895,0.5806
16,0.6152,0.561
17,0.6699,0.6348
18,0.6465,0.5863
19,0.6641,0.5919
20,0.6465,0.6426
21,0.6367,0.5838
22,0.6836,0.5915
23,0.5957,0.621
24,0.6602,0.5597
25,0.6348,0.5671
26,0.5898,0.6089
27,0.668,0.5868
28,0.627,0.6844
29,0.6055,0.6179
30,0.6094,0.6147
31,0.5156,0.5713
32,0.5977,0.6381
33,0.4453,0.5436
34,0.5,0.6725
35,0.5332,0.4922
36,0.5371,0.5249
37,0.5,0.5874
38,0.5605,0.6994
39,0.5449,0.5514
40,0.5781,0.6225
41,0.5566,0.6185
42,0.6074,0.6218
43,0.5039,0.6951
44,0.5273,0.7706
45,0.459,0.5977
46,0.4785,0.6011
47,0.4238,0.6517
48,0.459,0.726
49,0.5332,0.6378
50,0.4082,0.5921
51,0.4277,0.6414
52,0.4102,0.543
53,0.4258,0.5673
54,0.3906,0.7446
55,0.3418,0.5364
56,0.3574,0.8588
57,0.3691,0.6328
58,0.3242,0.57
59,0.3281,0.695
60,0.2695,0.6048
61,0.2988,0.6165
62,0.3027,0.5067
63,0.2266,0.6203
64,0.2578,0.5958
65,0.2988,0.5849
66,0.418,0.6706
67,0.3926,0.6692
68,0.3809,0.6318
69,0.3789,0.7191
70,0.3945,0.7462
71,0.4316,0.7522
72,0.4316,0.6295
73,0.5078,0.8363
74,0.4961,0.4615
75,0.4512,0.6678
76,0.4395,0.6348
77,0.3809,0.6917
78,0.3828,0.6934
79,0.4297,0.6417
80,0.4062,0.6713
81,0.4238,0.7147
82,0.3633,0.7406
83,0.4258,0.6837
84,0.377,0.8006
85,0.3828,0.5677
86,0.3496,0.7605
87,0.2754,0.743
88,0.2793,0.7195
89,0.2227,0.634
90,0.2129,0.5859
91,0.1758,0.7019
92,0.168,0.5549
93,0.1914,0.5915
94,0.1973,0.7706
95,0.2207,0.6513
96,0.1836,0.6197
97,0.2168,0.6575
98,0.1875,0.7227
99,0.1602,0.5261
100,0.1504,0.6937
101,0.1582,0.652
102,0.1074,0.6446
103,0.0938,0.5294
104,0.0762,0.5999
105,0.0664,0.7318
106,0.0859,0.5345
107,0.1094,0.6835
108,0.1738,0.7551
109,0.0879,0.5627
110,0.0996,0.7046
111,0.0723,0.545
112,0.1504,0.5568
113,0.0918,0.559
114,0.1426,0.6323
115,0.127,0.635
116,0.084,0.5075
117,0.0938,0.5028
118,0.1309,0.6295
119,0.1172,0.5143
120,0.125,0.559
121,0.1172,0.482
122,0.0918,0.4257
123,0.1348,0.4927
124,0.125,0.5026
125,0.0879,0.5015
126,0.0742,0.7034
127,0.0977,0.5433
128,0.0781,0.4387
129,0.1035,0.6056
130,0.0996,0.5812
131,0.0898,0.2621
132,0.1133,0.3914
133,0.084,0.5169
134,0.1113,0.4806
135,0.0898,0.5331
136,0.1113,0.434
137,0.0781,0.4975
138,0.0586,0.6406
139,0.0469,0.4165
140,0.0391,0.6512
141,0.0703,0.5389
142,0.0449,0.4584
143,0.0391,0.5682
144,0.0371,0.4328
145,0.0117,0.4154
146,0,0.428
147,0.0078,0.4857
148,0.0098,0.3928
149,0.0098,0.5473
