# metric_direction: higher_is_better
iteration	commit	metric	delta	guard	status	description
0	-	0	0	pass	baseline	monitor initialized for E3->Base SFT->E5 and E7->E8 pipeline
1	-	3	3	pass	no-op	e3_step=300/300;base_sft=waiting;e5=waiting;e7_step=186/500;e8=waiting;base_eval=waiting
2	-	4	1	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=186/500;e8=waiting;base_eval=waiting
3	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=188/500;e8=waiting;base_eval=waiting
4	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=193/500;e8=waiting;base_eval=waiting
5	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=196/500;e8=waiting;base_eval=waiting
6	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=200/500;e8=waiting;base_eval=waiting
7	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=200/500;e8=waiting;base_eval=waiting
8	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=202/500;e8=waiting;base_eval=waiting
9	-	0	0	fail	crash	eval state collection failed
10	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=207/500;e8=waiting;base_eval=waiting
11	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=210/500;e8=waiting;base_eval=waiting
12	-	4	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=active;e5=waiting;e7_step=214/500;e8=waiting;base_eval=waiting
13	-	5	1	pass	keep	started base_sft eval on eval-e8;e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=280/500;e8=waiting;base_eval=waiting
14	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=282/500;e8=waiting;base_eval=waiting
15	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=286/500;e8=waiting;base_eval=waiting
16	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=288/500;e8=waiting;base_eval=waiting
17	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=292/500;e8=waiting;base_eval=waiting
17	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=292/500;e8=waiting;base_eval=waiting
17	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=292/500;e8=waiting;base_eval=waiting
17	-	0	0	fail	crash	eval state collection failed
18	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=292/500;e8=waiting;base_eval=waiting
18	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=294/500;e8=waiting;base_eval=waiting
18	-	5	0	pass	no-op	e3=done;e3_step=300/300;after_e3=active;base_sft=done;e5=active;e7_step=294/500;e8=waiting;base_eval=waiting
