sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
0,0,True,1.507720,0.838655,1.191698,-0.316021,1.749947,0.911567,0.822818,-0.927129,237,314,78
1,0,True,0.775356,0.738527,1.336356,0.561000,0.951387,0.984333,0.783971,-0.167416,230,331,102
2,0,True,0.388649,0.277577,0.682344,0.293695,0.090776,0.235326,0.425200,0.334424,102,133,32
3,0,True,1.223220,1.001105,0.901313,-0.321908,1.350996,1.353119,1.111565,-0.239432,173,253,81
4,0,True,1.474569,0.238224,0.716705,-0.757864,1.575843,0.253415,0.504362,-1.071481,161,192,32
5,0,True,1.786249,1.009714,1.117688,-0.668561,1.033868,1.013552,0.850446,-0.183422,117,207,91
6,0,True,0.373537,0.243281,0.758836,0.385299,0.144451,0.205702,0.404982,0.260531,109,144,36
7,0,True,1.031637,1.417328,0.756366,-0.275271,6.677617,1.628938,0.232905,-6.444712,103,178,76
8,0,True,0.834049,0.212662,0.652538,-0.181511,0.807174,0.236812,0.522332,-0.284841,195,228,34
9,0,True,0.737058,0.639681,1.239512,0.502454,0.508971,0.844994,0.698920,0.189949,123,211,89
10,0,True,0.413672,0.266197,0.597990,0.184319,0.108994,0.251922,0.437561,0.328568,160,194,35
11,0,True,0.987382,0.878944,1.065486,0.078104,1.234016,0.937223,0.687183,-0.546833,139,226,88
12,0,True,1.780758,0.772874,0.871458,-0.909300,1.457171,0.833743,0.585888,-0.871283,162,254,93
13,0,True,1.497851,0.813806,0.964169,-0.533682,1.177715,1.099822,0.527215,-0.650500,70,139,70
14,0,True,0.319398,0.256479,0.689696,0.370298,0.063321,0.221975,0.380993,0.317672,110,145,36
15,0,True,1.082779,1.333203,1.244198,0.161419,0.408478,1.460463,1.260118,0.851641,139,248,110
16,0,True,0.622360,0.654056,0.594653,-0.027707,0.181369,0.911658,0.294834,0.113465,80,153,74
17,0,True,1.184596,0.809146,1.012669,-0.171927,1.234925,0.907501,1.116080,-0.118845,70,141,72
18,0,True,1.132562,0.788296,0.742054,-0.390508,0.350122,0.975934,0.340626,-0.009496,139,239,101
19,0,True,0.361702,0.289429,0.647470,0.285768,0.080508,0.220668,0.397600,0.317091,147,180,34
20,0,True,0.851245,0.233327,0.900848,0.049603,0.296080,0.244974,0.558046,0.261966,152,182,31
21,0,True,1.303613,0.802635,0.531166,-0.772448,1.679692,0.823199,0.424918,-1.254775,83,174,92
22,0,True,3.159960,1.232869,1.850950,-1.309009,1.636433,1.493431,1.563021,-0.073412,1710,1823,114
23,0,True,0.392618,0.284622,0.677934,0.285316,0.155552,0.248673,0.881221,0.725669,194,226,33
24,0,True,0.296857,0.226160,0.814603,0.517746,0.059712,0.252799,0.431073,0.371361,153,186,34
25,0,True,1.058504,1.013788,0.799688,-0.258816,1.716006,1.150248,0.468449,-1.247557,85,181,97
26,0,True,1.792488,0.666871,0.743304,-1.049184,1.416554,0.808145,0.270009,-1.146545,84,160,77
27,0,True,0.676362,0.776289,0.603642,-0.072720,0.191752,0.989893,0.169989,-0.021763,57,135,79
28,0,True,0.388728,0.980540,0.575508,0.186780,0.083352,0.968066,0.175864,0.092512,192,285,94
29,0,True,0.380391,0.204602,0.717346,0.336955,0.075656,0.208237,0.478990,0.403334,197,231,35
30,0,True,1.725906,0.664208,1.004456,-0.721450,5.911388,0.681956,1.292874,-4.618514,55,113,59
31,0,True,0.525350,0.227229,0.723588,0.198238,0.124477,0.234539,0.378264,0.253787,221,254,34
32,0,True,1.268332,0.888123,0.913899,-0.354433,1.805136,1.041576,0.722848,-1.082288,444,546,103
33,0,True,1.460964,0.916072,1.270076,-0.190889,1.092137,1.116314,1.043976,-0.048161,161,239,79
34,0,True,1.405801,0.629579,0.748644,-0.657158,1.137484,0.667314,1.084925,-0.052558,87,162,76
35,0,True,1.948498,0.896210,0.836197,-1.112301,1.345684,0.876825,0.413946,-0.931738,103,177,75
36,0,True,0.656605,0.269272,0.708922,0.052317,1.150135,0.270592,0.425195,-0.724940,160,190,31
37,0,True,0.947541,0.638343,0.971599,0.024058,0.459318,0.753897,1.077419,0.618101,98,186,89
38,0,True,0.446878,0.218354,0.793571,0.346693,0.099010,0.262282,0.374238,0.275228,137,169,33
