sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
0,0,True,0.079471,0.000601,0.001520,-0.077951,0.024699,0.000060,0.000158,-0.024542,168,174,7
1,0,True,0.035158,0.000250,0.000904,-0.034254,0.002936,0.000022,0.000091,-0.002845,75,81,7
2,0,True,0.022317,0.006184,0.003080,-0.019237,0.001716,0.000923,0.000350,-0.001366,249,255,7
3,0,True,0.062220,0.001684,0.001554,-0.060667,0.017191,0.000204,0.000171,-0.017021,114,120,7
4,0,True,0.008446,0.004725,0.001679,-0.006767,0.000621,0.000645,0.000167,-0.000454,211,217,7
5,0,True,0.019295,0.000792,0.002939,-0.016356,0.001508,0.000089,0.000332,-0.001176,147,153,7
6,0,True,0.021760,0.003554,0.001212,-0.020548,0.001773,0.000479,0.000116,-0.001657,133,139,7
7,0,True,0.015169,0.000080,0.007535,-0.007634,0.001525,0.000007,0.000940,-0.000586,361,366,6
8,0,True,0.013293,0.006136,0.002478,-0.010815,0.000999,0.000997,0.000263,-0.000736,411,417,7
9,0,True,0.017831,0.002693,0.002127,-0.015705,0.002173,0.000345,0.000230,-0.001943,182,188,7
10,0,True,0.005213,0.003273,0.001397,-0.003816,0.000367,0.000416,0.000138,-0.000229,182,188,7
11,0,True,0.016091,0.005447,0.004236,-0.011855,0.002398,0.000764,0.000532,-0.001865,228,234,7
12,0,True,0.163059,0.003855,0.005837,-0.157222,0.194971,0.000489,0.000695,-0.194276,389,395,7
13,0,True,0.031575,0.001957,0.001813,-0.029761,0.004284,0.000235,0.000181,-0.004103,388,394,7
14,0,True,0.011597,0.002477,0.001500,-0.010097,0.000885,0.000310,0.000152,-0.000733,202,208,7
15,0,True,0.066287,0.002954,0.021521,-0.044766,0.025687,0.000343,0.003510,-0.022177,218,224,7
16,0,True,0.041516,0.016916,0.002189,-0.039327,0.004945,0.002668,0.000231,-0.004714,110,116,7
17,0,True,0.013507,0.015887,0.006252,-0.007255,0.001063,0.002512,0.000829,-0.000235,193,199,7
18,0,True,0.079759,0.000281,0.002193,-0.077566,0.032529,0.000027,0.000236,-0.032293,111,116,6
19,0,True,0.010910,0.001113,0.002403,-0.008507,0.000818,0.000127,0.000274,-0.000544,288,294,7
20,0,True,0.005129,0.002460,0.002951,-0.002177,0.000352,0.000319,0.000326,-0.000027,326,332,7
21,0,True,0.015178,0.002051,0.001647,-0.013531,0.001186,0.000249,0.000172,-0.001014,187,193,7
22,0,True,0.019142,0.000969,0.002660,-0.016483,0.001492,0.000099,0.000295,-0.001197,123,129,7
23,0,True,0.039492,0.001248,0.000806,-0.038685,0.003367,0.000136,0.000076,-0.003291,117,123,7
24,0,True,0.036404,0.000271,0.001321,-0.035083,0.003429,0.000026,0.000131,-0.003298,283,289,7
25,0,True,0.032761,0.001612,0.002526,-0.030235,0.004314,0.000196,0.000276,-0.004039,214,220,7
26,0,True,0.095825,0.001654,0.001597,-0.094228,0.096001,0.000189,0.000158,-0.095843,248,254,7
27,0,True,0.015412,0.000093,0.003873,-0.011539,0.001217,0.000008,0.000451,-0.000766,149,154,6
28,0,True,0.048166,0.001753,0.001759,-0.046408,0.004183,0.000203,0.000197,-0.003986,170,176,7
29,0,True,0.013721,0.001688,0.001549,-0.012172,0.001160,0.000196,0.000153,-0.001007,196,202,7
30,0,True,0.003121,0.007360,0.001675,-0.001446,0.000212,0.001159,0.000171,-0.000041,150,156,7
31,0,True,0.016286,0.007430,0.039339,0.023053,0.001385,0.001073,0.007352,0.005967,221,227,7
32,0,True,0.056032,0.000974,0.002054,-0.053979,0.013840,0.000101,0.000226,-0.013614,121,127,7
33,0,True,0.024536,0.000587,0.001624,-0.022912,0.002023,0.000060,0.000162,-0.001861,160,166,7
34,0,True,0.051461,0.001483,0.001666,-0.049796,0.016417,0.000174,0.000167,-0.016250,127,133,7
35,0,True,0.012849,0.000587,0.001080,-0.011769,0.000959,0.000065,0.000111,-0.000849,124,130,7
36,0,True,0.015166,0.001583,0.001331,-0.013835,0.001151,0.000182,0.000137,-0.001014,150,156,7
37,0,False,0.134575,0.178262,0.081163,-0.053412,0.098473,0.147572,0.021500,-0.076973,916,922,7
38,0,True,0.007589,0.000773,0.000887,-0.006702,0.000554,0.000083,0.000086,-0.000467,181,187,7
39,0,True,0.010324,0.004680,0.003209,-0.007114,0.001203,0.000683,0.000354,-0.000849,377,383,7
40,0,True,0.016349,0.001162,0.000806,-0.015542,0.001283,0.000131,0.000075,-0.001208,121,127,7
41,0,True,0.004644,0.008547,0.005274,0.000630,0.000434,0.001201,0.000670,0.000236,232,238,7
42,0,True,0.011203,0.001315,0.002477,-0.008726,0.000834,0.000147,0.000280,-0.000554,149,155,7
43,0,True,0.015301,0.000531,0.007040,-0.008261,0.002122,0.000056,0.000935,-0.001186,333,338,6
44,0,True,0.010237,0.002750,0.001748,-0.008489,0.000800,0.000352,0.000185,-0.000615,221,227,7
45,0,True,0.005704,0.008386,0.005999,0.000295,0.000412,0.001171,0.000694,0.000282,212,218,7
46,0,True,0.070120,0.002104,0.001182,-0.068938,0.016514,0.000236,0.000114,-0.016400,280,286,7
47,0,True,0.026341,0.000265,0.005854,-0.020487,0.002126,0.000026,0.000740,-0.001386,253,258,6
48,0,True,0.110516,0.000352,0.002591,-0.107925,0.010987,0.000036,0.000283,-0.010704,97,102,6
49,0,True,0.028404,0.000850,0.001181,-0.027223,0.002359,0.000092,0.000114,-0.002245,131,137,7
50,0,True,0.066604,0.001652,0.003282,-0.063322,0.017409,0.000203,0.000368,-0.017041,126,131,6
51,0,True,0.052278,0.000310,0.002900,-0.049377,0.014958,0.000030,0.000325,-0.014633,130,135,6
52,0,True,0.067705,0.001157,0.004235,-0.063470,0.015091,0.000129,0.000478,-0.014613,186,191,6
53,0,True,0.006552,0.001311,0.001616,-0.004936,0.000479,0.000154,0.000164,-0.000315,294,300,7
54,0,True,0.032295,0.006981,0.001522,-0.030772,0.006701,0.001099,0.000153,-0.006549,198,204,7
55,0,True,0.024876,0.000272,0.003163,-0.021713,0.002283,0.000024,0.000356,-0.001927,128,133,6
56,0,True,0.020230,0.000085,0.002011,-0.018219,0.001674,0.000007,0.000211,-0.001463,123,128,6
57,0,True,0.003889,0.002737,0.001334,-0.002555,0.000278,0.000346,0.000133,-0.000145,255,261,7
58,0,False,0.010516,0.002564,0.007540,-0.002976,0.000803,0.000334,0.000944,0.000141,482,488,7
59,0,True,0.060314,0.003889,0.001981,-0.058333,0.006242,0.000484,0.000217,-0.006025,89,95,7
60,0,True,0.019245,0.004483,0.002555,-0.016691,0.001523,0.000654,0.000292,-0.001231,135,141,7
61,0,True,0.008512,0.004577,0.001251,-0.007261,0.000627,0.000585,0.000129,-0.000498,146,152,7
62,0,False,0.017083,0.002402,0.010169,-0.006913,0.001365,0.000312,0.001448,0.000083,183,189,7
63,0,True,0.019531,0.012954,0.003186,-0.016345,0.001571,0.002311,0.000352,-0.001219,229,235,7
64,0,True,0.016703,0.002005,0.002308,-0.014395,0.001338,0.000231,0.000243,-0.001094,175,181,7
65,0,True,0.006052,0.004583,0.001549,-0.004503,0.000431,0.000666,0.000157,-0.000274,162,168,7
66,0,True,0.016754,0.000962,0.001894,-0.014860,0.001320,0.000105,0.000208,-0.001112,150,156,7
67,0,True,0.024769,0.007893,0.002407,-0.022363,0.004528,0.001149,0.000261,-0.004266,179,185,7
68,0,True,0.031278,0.000358,0.004464,-0.026814,0.002557,0.000036,0.000550,-0.002007,132,137,6
69,0,True,0.017790,0.001054,0.002078,-0.015712,0.001614,0.000116,0.000222,-0.001392,134,140,7
70,0,False,0.074202,0.007728,0.001177,-0.073025,0.018235,0.001201,0.000117,-0.018118,237,243,7
71,0,True,0.017195,0.000660,0.001317,-0.015878,0.001311,0.000066,0.000128,-0.001183,109,115,7
72,0,True,0.027053,0.004527,0.002112,-0.024941,0.002330,0.000583,0.000223,-0.002107,122,128,7
73,0,True,0.040075,0.001925,0.003103,-0.036972,0.006835,0.000254,0.000332,-0.006503,184,189,6
74,0,True,0.054995,0.003286,0.006068,-0.048927,0.010995,0.000416,0.000795,-0.010200,271,277,7
75,0,True,0.013537,0.001404,0.002929,-0.010608,0.001040,0.000164,0.000337,-0.000703,241,247,7
76,0,True,0.020987,0.000149,0.004313,-0.016674,0.001645,0.000012,0.000527,-0.001118,452,457,6
77,0,True,0.015249,0.000223,0.003040,-0.012209,0.001213,0.000022,0.000345,-0.000868,162,167,6
78,0,True,0.038742,0.000176,0.004645,-0.034097,0.003212,0.000015,0.000616,-0.002596,226,230,5
79,0,True,0.090731,0.001076,0.001148,-0.089584,0.024780,0.000116,0.000112,-0.024667,110,116,7
80,0,True,0.027531,0.002022,0.001078,-0.026453,0.002216,0.000240,0.000106,-0.002111,148,154,7
81,0,True,0.014463,0.006566,0.001167,-0.013296,0.001156,0.001042,0.000110,-0.001046,166,172,7
82,0,True,0.027125,0.004539,0.001116,-0.026009,0.003614,0.000662,0.000104,-0.003509,130,136,7
83,0,True,0.029489,0.000568,0.001203,-0.028286,0.002462,0.000057,0.000123,-0.002338,96,102,7
84,0,True,0.083719,0.001563,0.001255,-0.082464,0.007891,0.000180,0.000123,-0.007768,165,171,7
85,0,True,0.018869,0.000358,0.002073,-0.016796,0.002073,0.000032,0.000224,-0.001849,192,198,7
86,0,False,0.044184,0.004761,0.003207,-0.040976,0.005801,0.000718,0.000358,-0.005443,306,312,7
87,0,True,0.050139,0.000135,0.007050,-0.043089,0.014818,0.000012,0.000839,-0.013979,251,257,7
88,0,False,0.113037,0.001305,0.002614,-0.110423,0.037059,0.000144,0.000283,-0.036776,176,182,7
89,0,True,0.007134,0.004047,0.002317,-0.004817,0.000532,0.000530,0.000246,-0.000285,189,195,7
90,0,True,0.012736,0.000761,0.001661,-0.011075,0.000982,0.000080,0.000166,-0.000816,127,133,7
91,0,True,0.024593,0.003987,0.001042,-0.023552,0.002489,0.000529,0.000098,-0.002391,156,162,7
92,0,True,0.003424,0.002037,0.002348,-0.001076,0.000238,0.000255,0.000246,0.000009,258,264,7
93,0,True,0.009870,0.007240,0.001032,-0.008837,0.000715,0.001127,0.000099,-0.000615,231,237,7
94,0,True,0.033909,0.004526,0.000709,-0.033200,0.002803,0.000659,0.000064,-0.002738,168,174,7
