sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
0,True,1,0.079471,0.000601,0.001520,-0.077951,0.024699,0.000060,0.000158,-0.024542,0.037774,0.018822,155
1,True,1,0.035158,0.000250,0.000904,-0.034254,0.002936,0.000022,0.000091,-0.002845,0.020500,0.008953,100
2,True,1,0.022317,0.006184,0.003080,-0.019237,0.001716,0.000923,0.000350,-0.001366,0.026497,0.013952,247
3,True,1,0.062220,0.001684,0.001554,-0.060667,0.017191,0.000204,0.000171,-0.017021,0.017425,0.006312,132
4,True,1,0.008446,0.004725,0.001679,-0.006767,0.000621,0.000645,0.000167,-0.000454,0.030112,0.017895,152
5,True,1,0.019295,0.000792,0.002939,-0.016356,0.001508,0.000089,0.000332,-0.001176,0.033244,0.021082,143
6,True,1,0.021760,0.003554,0.001212,-0.020548,0.001773,0.000479,0.000116,-0.001657,0.014249,0.014291,144
7,True,1,0.015169,0.000080,0.007535,-0.007634,0.001525,0.000007,0.000940,-0.000586,0.077385,0.067017,345
8,True,1,0.013293,0.006136,0.002478,-0.010815,0.000999,0.000997,0.000263,-0.000736,0.049112,0.037192,359
9,True,1,0.017831,0.002693,0.002127,-0.015705,0.002173,0.000345,0.000230,-0.001943,0.020059,0.007754,175
10,True,1,0.005213,0.003273,0.001397,-0.003816,0.000367,0.000416,0.000138,-0.000229,0.021784,0.010535,175
11,True,1,0.016091,0.005447,0.004236,-0.011855,0.002398,0.000764,0.000532,-0.001865,0.017242,0.008190,216
12,True,1,0.163059,0.003855,0.005837,-0.157222,0.194971,0.000489,0.000695,-0.194276,0.099636,0.068218,374
13,True,1,0.031575,0.001957,0.001813,-0.029761,0.004284,0.000235,0.000181,-0.004103,0.033439,0.021092,382
14,True,1,0.011597,0.002477,0.001500,-0.010097,0.000885,0.000310,0.000152,-0.000733,0.027039,0.014958,202
15,True,1,0.066287,0.002954,0.021521,-0.044766,0.025687,0.000343,0.003510,-0.022177,0.028802,0.011508,177
16,True,1,0.041516,0.016916,0.002189,-0.039327,0.004945,0.002668,0.000231,-0.004714,0.015598,0.010329,110
17,True,1,0.013507,0.015887,0.006252,-0.007255,0.001063,0.002512,0.000829,-0.000235,0.027251,0.018022,190
18,True,1,0.079759,0.000281,0.002193,-0.077566,0.032529,0.000027,0.000236,-0.032293,0.020808,0.010389,133
19,True,1,0.010910,0.001113,0.002403,-0.008507,0.000818,0.000127,0.000274,-0.000544,0.055871,0.041304,274
20,True,1,0.005129,0.002460,0.002951,-0.002177,0.000352,0.000319,0.000326,-0.000027,0.031853,0.022717,315
21,True,1,0.015178,0.002051,0.001647,-0.013531,0.001186,0.000249,0.000172,-0.001014,0.032547,0.017840,193
22,True,1,0.019142,0.000969,0.002660,-0.016483,0.001492,0.000099,0.000295,-0.001197,0.018242,0.006157,119
23,True,1,0.039492,0.001248,0.000806,-0.038685,0.003367,0.000136,0.000076,-0.003291,0.009786,0.001694,128
24,True,1,0.036404,0.000271,0.001321,-0.035083,0.003429,0.000026,0.000131,-0.003298,0.022891,0.013482,296
25,True,1,0.032761,0.001612,0.002526,-0.030235,0.004314,0.000196,0.000276,-0.004039,0.023435,0.019103,197
26,True,1,0.095825,0.001654,0.001597,-0.094228,0.096001,0.000189,0.000158,-0.095843,0.019799,0.011034,232
27,True,1,0.015412,0.000093,0.003873,-0.011539,0.001217,0.000008,0.000451,-0.000766,0.007201,0.001557,142
28,True,1,0.048166,0.001753,0.001759,-0.046408,0.004183,0.000203,0.000197,-0.003986,0.017126,0.007684,172
29,True,1,0.013721,0.001688,0.001549,-0.012172,0.001160,0.000196,0.000153,-0.001007,0.029863,0.020529,180
30,True,1,0.003121,0.007360,0.001675,-0.001446,0.000212,0.001159,0.000171,-0.000041,0.007322,0.001669,164
31,True,1,0.016286,0.007430,0.039339,0.023053,0.001385,0.001073,0.007352,0.005967,0.025838,0.012497,210
32,True,1,0.056032,0.000974,0.002054,-0.053979,0.013840,0.000101,0.000226,-0.013614,0.034862,0.030979,132
33,True,1,0.024536,0.000587,0.001624,-0.022912,0.002023,0.000060,0.000162,-0.001861,0.010854,0.003862,181
34,True,1,0.051461,0.001483,0.001666,-0.049796,0.016417,0.000174,0.000167,-0.016250,0.010891,0.003388,138
35,True,1,0.012849,0.000587,0.001080,-0.011769,0.000959,0.000065,0.000111,-0.000849,0.010886,0.006390,123
36,True,1,0.015166,0.001583,0.001331,-0.013835,0.001151,0.000182,0.000137,-0.001014,0.015880,0.007117,158
