
sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
0,0,True,0.391508,0.279819,0.628397,0.236889,0.121964,0.233662,0.314662,0.192698,137,169,33
1,0,True,0.353901,0.281301,0.621513,0.267611,0.080179,0.238132,0.310051,0.229872,71,103,33
2,0,True,0.268430,0.260810,0.656143,0.387713,0.055077,0.203320,0.311097,0.256020,219,253,35
3,0,True,0.351821,0.272287,0.639781,0.287960,0.070798,0.229708,0.349086,0.278288,105,138,34
4,0,True,0.289814,0.268650,0.620094,0.330280,0.054622,0.206370,0.321519,0.266897,202,235,34
5,0,True,0.255449,0.278080,0.626301,0.370852,0.048308,0.230718,0.338710,0.290403,147,179,33
6,0,True,0.280548,0.280242,0.650809,0.370261,0.056095,0.229856,0.334437,0.278342,130,162,33
7,0,True,0.359968,0.269047,0.634127,0.274159,0.070994,0.203545,0.302820,0.231826,264,297,34
8,0,True,0.292389,0.267487,0.635851,0.343463,0.056462,0.202376,0.292759,0.236297,332,365,34
9,0,True,0.278476,0.261388,0.630766,0.352290,0.056852,0.204835,0.336642,0.279791,150,184,35
10,0,True,0.269085,0.265991,0.630751,0.361666,0.053838,0.199265,0.336932,0.283093,158,191,34
11,0,True,0.272433,0.279935,0.655023,0.382589,0.051980,0.240220,0.358716,0.306736,189,221,33
12,0,False,0.359298,0.262010,0.639475,0.280177,0.097179,0.206425,0.342579,0.245400,212,246,35
13,0,True,0.330389,0.261208,0.649069,0.318680,0.066613,0.195479,0.351834,0.285221,300,334,35
14,0,False,0.360364,0.277281,0.653688,0.293323,0.138600,0.223612,0.362172,0.223572,187,219,33
15,0,True,0.653455,0.260724,0.638125,-0.015330,0.225496,0.196026,0.334011,0.108515,167,201,35
16,0,True,0.323070,0.279335,0.637372,0.314301,0.080930,0.226248,0.346744,0.265814,110,142,33
17,0,True,0.296376,0.259904,0.632321,0.335945,0.067235,0.202995,0.320352,0.253117,165,199,35
18,0,True,0.411520,0.288318,0.634512,0.222992,0.150934,0.229012,0.342438,0.191505,109,140,32
19,0,True,0.361547,0.287218,0.654283,0.292737,0.077662,0.223293,0.350188,0.272526,232,263,32
20,0,True,0.332335,0.270952,0.629717,0.297382,0.060947,0.205297,0.307715,0.246768,193,226,34
21,0,True,0.414308,0.279152,0.635555,0.221247,0.134781,0.220957,0.318521,0.183741,131,163,33
22,0,True,0.305792,0.305169,0.559347,0.253555,0.063089,0.240669,0.295636,0.232547,139,168,30
23,0,True,0.363860,0.282189,0.627357,0.263497,0.080187,0.225282,0.335568,0.255382,112,144,33
24,0,True,0.380428,0.259998,0.555740,0.175313,0.088096,0.190571,0.305486,0.217390,125,159,35
25,0,True,0.343843,0.285607,0.636379,0.292535,0.077475,0.233666,0.385698,0.308224,198,229,32
26,0,True,0.304008,0.256469,0.638825,0.334816,0.058143,0.185016,0.339779,0.281636,175,209,35
27,0,True,0.374469,0.271622,0.622117,0.247648,0.089747,0.227174,0.360916,0.271169,151,184,34
28,0,False,0.518656,0.280340,0.633070,0.114414,0.200381,0.235636,0.349755,0.149373,124,156,33
29,0,True,0.341115,0.285526,0.642610,0.301495,0.073808,0.229541,0.353526,0.279718,148,179,32
30,0,True,0.260253,0.280500,0.644648,0.384395,0.048364,0.224431,0.345922,0.297558,167,199,33
31,0,True,0.258153,0.277950,0.639874,0.381721,0.051843,0.220349,0.321656,0.269813,174,206,33
32,0,True,0.320980,0.267083,0.621725,0.300745,0.069748,0.207119,0.342760,0.273012,101,134,34
33,0,True,0.276483,0.259302,0.645138,0.368655,0.053555,0.195922,0.402317,0.348762,141,175,35
